Ø¢ ji1
Ø­ gun3
Ø¯ pie3
Ø¼ zhu3
ØÎ fang4
ØÖ dao1
Øç jiong1
Øé ren2
Ù× tong2
Ùè bao1
Ùï tou2
Ùû bing1
Ú¢ mi4
Ú¥ yan2
Úà jie2
Úâ fu3
Úæ ban3
ÛÈ yin3
ÛÉ qian3
Ûâ long3
Ü³ ao3
Ü¹ wan2
İÎ yan1
ŞÃ gong3
ŞÌ you2
ŞĞ shou3
Şß ai2
à§ shua1
àí guo2
áÂ song1
áÊ yao3
áá hou4
áê shan1
áë quan3
áõ rong2
â£ guo1
âº zhi3
â» shi2
âà xin1
ãÜ pan2
ãß shui3
ãõ duo4
äÉ shen3
å² mian2
å¸ ning2
åÁ chuo4
åÉ jing4
åæ xue3
åø che4
æù si1
ç¶ duo3
çİ chuan1
çä wen2
é¨ cou4
é° ju3
ê¦ wei4
ê· po1
ë¶ pu1
ì® biao1
ìá huo3
ìê shi4
í± yu4
í´ xue2
îÄ jin1
îİ ke1
îß bu1
ïİ luo2
ïà xuan4
ïã jue2
ïñ zhong1
ğ¡ zhen3
ğÚ ne4
ñÂ yi1
ò® hu1
òÂ ke1
ó­ xiang4
óé qian2
ô± zhong1
ôé m14
õ± tang2
õÌ tai2
öó nian2
öş sao1
÷Ô biao1
