艾 ai4 
边 bian1 
薄 bo2 
单于 chan2yu2
车 che1 
淳于 chun2yu2
丁 ding1 
东方 dong1fang1
东郭 dong1guo1
东门 dong1men1
都 du1 
独孤 du2gu1
段干 duan4gan4
端木 duan1mu4
冯 feng2 
富察 fu4cha2
盖 gai4 
干 gan1 
葛 ge3 
公良 gong1liang2
公孙 gong1sun1
公西 gong1xi1
公羊 gong1yang2
公冶 gong1ye3
谷 gu3 
谷梁 gu3liang2
冠 guan4 
过 guo1 
赫连 he4lian2
侯 hou2 
呼延 hu1yan2
华 hua4 
皇甫 huang2fu3
纪 ji4 
贾 jia3 
经 jing1 
隗 kui2 
郎 lang2 
乐 le4 
梁丘 liang2qiu1
令孤 ling4hu2
隆 long2 
陆 lu4 
罗 luo2 
闾丘 lv3qiu1
麻 ma2 
冒 mao4 
蒙 meng2 
万俟 mo4qi2
慕容 mu4rong2
那 na4 
那拉 na4la1
纳喇 na4la1
南 nan2 
南宫 nan2gong1
乜 nie4 
宁 ning4 
区 ou1 
欧阳 ou1yang2
朴 piao2 
濮阳 pu3yang2
齐 qi2 
漆雕 qi1diao1
强 qiang2 
仇 qiu2 
曲 qu3 
任 ren2 
撒哈拉 sa4ha1la1
萨克达 sa4ke4da2
沙 sha1 
单 shan4 
上官 shang4guan1
申屠 shen1tu2
盛 sheng4 
石 shi2 
司空 si1kong1
司寇 si1kou4
司徒 si1tu2
司马 si1ma3
宿 su4 
澹台 tan2tai2
汤 tang1 
陶 tao2 
通 tong1 
同 tong2 
图门 tu2men2
拓跋 tuo4ba2
万 wan4 
王 wang2 
闻人 wen2ren2
乌 wu1 
西门 xi1men2
夏侯 xia4hou2
鲜 xian1 
鲜于 xian1yu2
相 xiang1 
相里 xiangli
解 xie4 
轩辕 xuan1yuan2
燕 yan1 
叶 ye4 
衣 yi1 
殷 yin1 
应 ying1 
尉迟 yu4chi2
宇文 yu3wen2
乐正 yue4zheng4
宰父 zai3fu4
藏 zang4
曾 zeng1 
查 zha1 
翟 zhai2 
占 zhan4 
长孙 zhang3sun1
钟离 zhong1li2
诸葛 zhu1ge3
